序号,题目（含完整选项）,答案
5,某遗传病由常染色体上两对独立遗传的等位基因控制，两对基因都为隐性纯合时表现为患病。下列有关该遗传病的说法正确的是  （    ） A. 该遗传病的发病与遗传因素有关而与环境因素无关 B. 该遗传病一定属于先天性疾病，在群体中的发病率较高 C. 正常男、女婚配生出患此病女孩的最大概率是1/8 D. 与红绿色盲相比，该遗传病更适合在人群中调査,C /n【解析】遗传病的发病与遗传因素有关，也与环境因素有关，A错误；先天性的疾病是生来就有的疾病，不一定是遗传病，该遗传病不一定属于先天性疾病，B错误； 正常男、女婚配，要生出一个患病的女孩，且患病要最大，则双亲必须是一对杂合子一对隐性纯合子组成，假设该病由基因a和b控制，因此双亲的基因型为Aabb或aaBb，如果双亲基因型相同，则患此病女孩的概率=1/4×1/2=1/8。若双亲基因型不同，则患此病女孩的概率=1/2×1/2×1/2=1/8，C正确；该遗传病不是单基因遗传病，不适合在人群中调查，D错误。
6,种植过农作物的土地，闲置数年后逐渐被灌木丛覆盖。该过程中不会发生  （    ） A. 群落的物种组成逐渐发生改变，空间结构越来越复杂 B. 光照、土壤湿度和盐碱度等影响着群落中生物的分布 C. 生物与环境间共同进化，环境对多种种群的容纳量增大 D. 生态系统的能量传递效率及生物多样性的价值逐渐增大 2020年高考生物选择题专项训练（03）,D /n【解析】群落的结构：垂直结构和水平结构。 共同进化指不同物种之间、生物与无机环境之间在相互影响中不断进化和发展。 【详解】群落演替的过程中，群落的物种组成逐渐发生改变，空间结构越来越复杂，A正确；该次生演替的过程中，光照、土壤湿度和盐碱度等均影响着群落中生物的分布，B正确；生物与环境间共同进化，环境会变得更适于生物生存，环境对多种种群的容纳量增大，C正确；可以提高能量的利用率，不能提高生态系统的能量传递效率，D错误。故选D。 2020年高考生物选择题专项训练（03）
1,下列有关生物膜应用的叙述，错误的是  （    ） A. 对海水进行淡化处理的生物膜可选择性通过Na+ B. 人工肾替代病变肾，利用了生物膜的结构特点 C. 在环境工程中可以利用生物膜的选择透过性功能净化污水 D. 将磷脂制成小球包裹药物，小球膜可与细胞膜融合,B /n【解析】生物膜是一种选择透过性膜，水分子可以自由通过，细胞要选择吸收的离子、小分子也可以通过，而其他离子、小分子和大分子则不能通过。因此，可以通过模拟生物膜的选择透过性，人工合成相应的膜材料，进行海水的淡化处理、污水的净化等，也可以利用人工合成的膜材料制成人工肾，以替代病变的肾脏行使功能。另外，还可以利用生物膜的流动性，将药物包裹在磷脂制成的小球内，进而将药物送入细胞，达到治疗疾病的目的。 【详解】海水淡化中利用了生物膜的选择透过性，对海水进行淡化处理的生物膜可选择性通过Na+，A正确；人工肾替代病变肾，利用了生物膜的功能特性，即选择透过性，B错误；在环境工程中可以利用生物膜的选择透过性，设计出一种具有选择透过性的膜结构，用来进行净化污水，C正确；磷脂双分子层构成细胞膜的基本支架，根据生物膜的流动性，将磷脂制成小球包裹药物，运输到患病部位，通过小球膜和细胞膜的融合，将药物送入细胞，从而达到治疗疾病的目的，D正确。
2,下列叙述不合理的是  （    ） A. 当身体内细胞发生某种突变后，它会不断地分裂，不受控制，最后可能形成癌症 B. 细胞增殖和分化可满足个体生长发育需要，如果是有序的过程可保持人体身体健康 C. 通过细胞分裂产生的大量细胞一定会形成肿瘤 D. 癌细胞能侵犯、破坏邻近的组织和器官，也可从肿瘤中穿出，进入血液或淋巴,C /n【解析】细胞增殖是重要的细胞生命活动，是生物体生长、发育、繁殖、遗传的基础。细胞分化是生物界中普遍存在的生命现象，是生物个体发育的基础。在环境中的致癌因子影响下，细胞内的原癌基因和抑癌基因发生突变，导致正常细胞的生长和分裂失控而变成具有无限增殖能力的癌细胞；癌细胞的主要特征之一是：细胞表面发生了变化，癌细胞的细胞膜上的糖蛋白减少，细胞间的黏着性降低，在体内易扩散和转移。 【详解】有的细胞受到致癌因子的作用，细胞中遗传物质发生变化，就变成了不受机体控制的、连续进行分裂的恶性增殖细胞，这种细胞就是癌细胞，可见，当身体内细胞发生某种突变后，它会不断地分裂，不受控制，最后可能形成癌症，A正确；细胞增殖和细胞分化是生物个体生长发育的基础，如果是有序的过程可保持人体身体健康，B正确；通过细胞分裂产生大量细胞，但不一定会形成肿瘤，C错误；癌细胞的细胞膜上的糖蛋白减少，细胞间的黏着性降低，在体内易扩散和转移，使得癌细胞能侵犯、破坏邻近的组织和器官，也可从肿瘤中穿出，进入血液或淋巴，D正确。
3,下列有关疫苗的叙述，错误的是  （    ） A. 疫苗具有广普预防的功能，例如接种牛痘疫苗能预防天花病毒 B. 疫苗通常用灭活或减毒的病原体制成，能刺激机体产生相应的抗体和记忆细胞 C. 疫苗可通过注射或口服进入人体，可以用来预防疾病 D. 疫苗一般是一类接种后能激发人体免疫反应来抵抗某些传染病生物制品,A /n【解析】疫苗通常用灭活或减毒的病原体制成，是一类接种后能激发人体免疫反应来抵抗某些传染病的生物制品，属于抗原。在抗原的刺激下，机体可产生特异性免疫，从而达到预防疾病的目的。 【详解】疫苗属于抗原，能刺激机体产生特异性免疫，不具有广普预防的功能，A错误；疫苗通常用灭活或减毒的病原体制成，能刺激机体产生特异性免疫，在特异性免疫中，能产生相应的抗体和记忆细胞，B正确；疫苗可通过注射或口服进入人体，可以用来预防疾病，C正确；疫苗一般是一类接种后能激发人体免疫反应来抵抗某些传染病的生物制品，可用于预防疾病，D正确。
4,某同学将生长一致的小麦幼苗平均分为甲、乙两组，甲组置于光下培养，乙组置于黑暗中培养，其他条件适宜。较长一段时间后，测定麦苗的干重，发现两组存在明显差异。下列相关叙述正确的是  （    ） A. 甲乙比较，乙因有机物的制造量小于甲，故增重多 B. 乙组叶片会出现黄化现象 C. 能够通过肉眼观察到甲植物进行光合作用 D. 甲植物叶绿体的色素主要吸收红橙光、蓝紫光，不吸收绿光,B /n【解析】甲组置于光照下，既能进行光合作用又能进行呼吸作用；乙组置于黑暗条件下，不能进行光合作用，但能进行呼吸作用。 【详解】甲乙比较，由于甲组置于光下培养，光合作用合成的有机物大于呼吸作用消耗的有机物，有有机物积累，而乙组置于黑暗中培养，光合作用不能进行，同时细胞中原有的有机物还要通过呼吸作用不断被消耗，所以甲组增重大于乙组，A错误；叶绿素的合成需要光，由于乙组在黑暗条件下，缺乏光照不能合成叶绿素，而且原有的叶绿素还会被降解，所以乙组叶片会出现黄化现象，B正确；植物进行光合作用，不能够通过肉眼观察到，C错误；叶绿体中的色素，叶绿素主要吸收红光和蓝紫光，类胡萝卜素主要吸收蓝紫光，对绿光的吸收最少，D错误。
5,下列关于种群、群落与生态系统的叙述，正确的是  （    ） A. 生物群落的组成中包括生物成分和非生物成分 B. 某地区同种树木的幼苗、半成体植株和成体植株形成垂直结构 C. 负反馈调节有利于生态系统结构和功能保持相对稳定 D. 信息传递必定调节不同群落之间的种间关系,C /n【解析】生物群落是指同一时间内聚集在一定区域中各种生物种群的集合，其结构包括垂直结构和水平结构。种群是指在一定区域内的同种生物的全部个体。生态系统具有保持和恢复自身结构和功能相对稳定的能力，其原因是生态系统具有自我调节能力，而负反馈调节是生态系统自我调节能力的基础。生态系统中的信息传递的作用是：①生物的生命活动正常进行离不开信息的作用；②生物种群的繁衍离不开信息的传递；③调节生物的种间关系，以维持生态系统的稳定。 【详解】由以上分析可知：生物群落的组成中包括生物成分，不包括非生物成分，A错误；某地区同种树木的幼苗、半成体植株和成体植株形成的是种群，垂直结构是指群落中的不同种生物在垂直结构上的分布，B错误；负反馈调节是生态系统自我调节能力的基础，有利于生态系统结构和功能保持相对稳定，C正确；信息传递可调节同一群落的种间关系，D错误。
6,人体体温调节的 “调定点”学说指出：调定点相当于恒温箱的调定器。正常人此点温度定为37℃。人体感染细菌导致发热，长时间处于高烧不退的状态，使温敏和冷敏两类神经元活动改变，调定点上移（如38℃），调定点上移后，产热与散热过程将在较高的水平（如38℃） 达到平衡。据此判断下列说法错误的是  （    ） A. 当人高烧不退时，调定点上移，会使体内适应于正常体温的酶活性减弱 B. 当体温上升时，机体散热的途径可能有汗腺分泌，皮肤血管舒张 C. 正常情况下流经下丘脑血液的温度超过37℃时，产热过程持续加强 D. 如果利用此原理制备药物使调定点下降，可以使高烧患者体温恢复到正常水平 2020年高考生物选择题专项训练（04）,C /n【解析】调定点相当于恒温箱的调定器，是调节温度的基准，正常人此点温度定为37℃。下丘脑中的温敏神经元与冷敏神经元起着调定点的作用，这两类神经元活动的强度依下丘脑温度的高低而改变。正常情况下，若流经下丘脑血液的温度超过37℃时，温敏神经元放电频率增加，引起散热过程加强，产热过程减弱，若流经此处的血液的温度不足37℃时，则引起相反的变化，以维持体温的相对稳定。发热时，致热原可使温敏和冷敏两类神经元活动改变，调定点上移(如38℃)，之后，产热与散热过程将在较高的水平(38℃)上达到平衡。解热镇痛药的作用机制，就是使调定点下降，从而使体温恢复到正常水平。 【详解】依题意可知：正常人体温的“调定点”为37℃，是酶发挥作用的最适温度，当人高烧不退时，调定点上移，体温高于37℃，会使体内适应于正常体温的酶活性减弱，A正确；当体温上升时，机体的散热增强，主要的散热途径有汗腺分泌汗液，皮肤血管舒张，B正确；正常情况下流经下丘脑血液的温度超过37℃时，温敏神经元活动增强，引起散热过程加强，产热过程减弱，C错误；如果利用此原理制备药物使调定点下降，可以使高烧患者体温恢复到正常水平，D正确。 2020年高考生物选择题专项训练（04）
1,如图甲、乙是呼吸道管壁上分布最多的两种细胞（纤毛细胞和黏液腺细胞）结构示意图。当灰尘、病菌等异物进入，通过纤毛细胞摆动，呼吸道可将包裹异物的黏液推向喉部。据图分析下列不正确的是  （    ） A. 甲细胞中核糖体与中心体均不含有磷脂 B. 甲乙细胞都已经分化不再具有全能性 C. 两种细胞都会衰老、脱落，衰老细胞表现为线粒体数量减少，体积减小 D. 乙细胞与分泌物形成有关细胞器有：核糖体、内质网、高尔基体、线粒体,C /n【解析】分析题图：甲具有纤毛，表示纤毛细胞，纤毛摆动需要提供能量，因此供能的细胞器线粒体数量多；乙为粘液腺细胞，粘液腺细胞因具有分泌粘液的功能，因此细胞的内质网和高尔基体特别发达。 【详解】甲是纤毛细胞，细胞中的中心体和核糖体都是没有膜结构的细胞器，因此都不含磷脂，A正确；纤毛细胞和黏液腺细胞都是高度分化的动物细胞，不再具有全能性，B正确；细胞都会衰老，而衰老细胞表现为线粒体数量较少，细胞体积减小，细胞核体积增大，但不一定都会脱落，C错误；粘液腺细胞因具有分泌粘液的功能，与其分泌物形成有关的细胞器有核糖体、内质网、高尔基体、线粒体，D正确。
2,将红细胞移入低渗溶液后，很快吸水膨胀，而水生 动物非洲爪蟾的卵母细胞在低渗溶液不膨胀。将控制红细胞膜上 CHIP28(一种水通道蛋白)合成的 mRNA 注入非洲爪蟾的卵母细胞中，在低渗溶液中，卵母细胞迅速膨胀，并于 5分钟内破裂。判断以下说法错误的是  （    ） A. CHIP28 的加工、运输需要内质网和高尔基体的参与 B. 红细胞在低渗溶液中胀破的原因是通过自由扩散吸收了过多的水 C. 非洲爪蟾卵母细胞在低渗溶液不膨胀的原因是细胞膜上无类似 CHIP28 蛋白 D. 肾小管在抗利尿激素作用下重吸收水可能与 CHIP28 有关,B /n【解析】据题意可知，水生动物非洲爪蟾的卵母细胞在低渗溶液不膨胀，而将控制红细胞膜上CHIP28（一种水通道蛋白）合成的mRNA注入非洲爪蟾的卵母细胞中，在低渗溶液中，卵母细胞迅速膨胀，说明水的吸收与水通道蛋白有关。 【详解】CHIP28为细胞膜上的通道蛋白，故它的加工、运输需要内质网和高尔基体的参与，A正确；据题意可知，水的过量吸收需通过通道蛋白，故属于协助扩散，B错误；非洲抓蟾卵母细胞在低渗溶液不膨胀的原因是细胞膜上无类似CHIP28蛋白，C正确；肾小管在抗利尿激素作用下重吸收水可能与CHIP28有关，D正确；故选B。 【点睛】本题的知识点是水分子跨膜运输的方式，水通道蛋白在水分子运输中的作用，蛋白质的合成，结构与功能，明确实验的实验组与对照组，分析实验结果获取结论是解题的关键。
3,下列有关生物变异与人类遗传病的叙述，正确的是  （    ） A. 若某生物的一个体细胞的基因组成为AAaa，则其为四倍体 B. 染色体之间交换部分片段不一定属于染色体结构变异 C. 21三体综合征的病因可能是一个卵细胞与两个精子结合 D. 患有遗传病个体的某些细胞内一定会有致病基因存在,B /n【解析】由受精卵发育而来的个体，体细胞中含有几个染色体组，就叫几倍体。根据题意可知，一个体细胞基因型为AAaa，即某一性状的基因出现四次，四个基因分别位于四条同源染色体上，说明该生物的体细胞中含有四个染色体组，即该生物可能为四倍体；该细胞有可能是处于有丝分裂前期、中期、后期，此时基因已经加倍，加倍前为Aa，即该生物可能是二倍体；由于不能确定该生物是受精卵发育而来还是由配子发育而来，因此该生物也有可能是单倍体，A错误；非同源染色体之间交换部分片段属于染色体结构变异，同源染色体的非姐妹染色单体之间的交叉互换属于基因重组，B正确；如果一个卵细胞和两个精子结合，就不仅仅是21号染色体多一条，其他染色体均多一条，C错误；人类遗传病有单基因遗传病、多基因遗传病与染色体异常遗传病，患有染色体异常遗传病的个体的细胞内不一定含有致病基因，D错误。 【点睛】本题考查常见的人类遗传病，染色体结构变异和数目变异等内容，需要学生掌握以下知识点：1、单倍体是由配子直接发育形成的，其体细胞中染色体数目只有本物种体细胞中染色体数目的一半。2、非同源染色体之间交换片段属于染色体结构变异，同源染色体之间非姐妹染色单体的交叉互换属于基因重组。3、人类遗传病分为单基因遗传病、多基因遗传病和染色体异常遗传病。
4,下列叙述中，正确的是  （    ） A. 通过诱变育种的方法可以使大肠杆菌合成人的生长激素 B. 我国选育高产青霉素菌株的原理和杂交育种的原理相同 C. 多倍体植物细胞中含有多个染色体组，有的单倍体植物细胞中也可能含有多个染色体组 D. 利用单倍体植株培育新品种，可以明显缩短育种年限，因此目前农业上大多数作物品种都是通过这个方法培育出的,C /n【解析】考查对几种育种方法的原理和优缺点的的理解和掌握情况。通过比较分析和归纳总结可以把握它们的内在联系，建构知识系统。 【详解】诱变育种通过改变原有的基因结构而改造生物性状，使大肠杆菌合成人的生长激素要通过基因工程来实现，A错误。 选育高产青霉素菌株的原理是基因突变，而杂交育种的原理是基因重组，B错误. 单倍体是配子发育而来的个体，细胞中也可能含有多个染色体组，C正确. 利用单倍体植株培育新品种，可以明显缩短育种年限，但是其本身并不能产生新品种；目前农业上大多数作物品种是通过杂交育种法培育出的，D错误. 【点睛】单倍体是指由配子发育而来的个体，多倍体的配子中可能有多个染色体组，因此单倍体细胞中可能有多个染色体组。 单倍体育种不能创造新品种，而是加速新性状组合的纯合的过程。
5,"如图表示人体内生命活动调节的途径,下列说法不正确的是  （    ） A. 当血糖含量降低时，图中参与调节的内分泌腺不只一种 B. 寒冷环境中,下丘脑中体温调节中枢兴奋使③的分泌减少 C. 若血液中甲状腺激素⑥的量明显增加,则③和④的量可能会减少 D. “感受器→①→下丘脑→⑦→内分泌腺”构成一条完整反射弧","B /n【解析】考点：本题考查体温调节、血糖调节等相关知识，意在考查学生识图能力、信息的提取与应用能力、通过比较与综合做出合理判断的能力等。 【详解】当血糖含量降低时，参与调节的激素有胰高血糖素和肾上腺素，故相应的内分泌腺不止一种，A正确。 ③可以表示促性腺激素释放激素，寒冷环境中,下丘脑体温调节中枢兴奋使它的分泌增多，B错误。 因负反馈调节作用，若血液中甲状腺激素⑥的量明显增加，则会抑制下丘脑和垂体的活动，C正确。 肾上腺素的分泌就是通过感受器→①→下丘脑→⑦→内分泌腺构成的反射弧完成的，D正确。 【点睛】下丘脑是大脑皮层下调节内脏活动的高级中枢，它把内脏活动与其他生理活动联系起来，调节着体温、血糖平衡、水盐平衡和内分泌腺活动等重要的生理功能。"
6,下列关于植物激素的描述，不正确的是  （    ） A. 是对植物的生长发育有促进作用的有机物 B. 生长素和赤霉素均能促进植物细胞的伸长 C. 植物的不同器官对生长素的敏感程度是不相同的 D. 激素传递信息，但不直接参与细胞内的代谢活动 2020年高考生物选择题专项训练（05）,A /n【解析】植物激素是由植物体内产生，能从产生部位送到作用部位，对植物的生长发育有显著影响的微量元素；植物激素主要有生长素、赤霉素、细胞分裂素、乙烯和脱落酸等，它们对植物各种生命活动起着不同的调节作用。生长素促进细胞伸长生长、促进果实发育、促进插枝生根、防止落花落果；赤霉素有促进茎的伸长、引起植株快速生长、解除休眠和促进花粉萌发等生理作用；脱落酸能抑制植物的细胞分裂和种子的萌发，促进花、果实、叶的脱落；乙烯能增强细胞膜的透性和酶的活性，加强果实细胞的呼吸作用，促进果实中有机物的转化，从而促进果实的成熟，还能刺激叶子脱落、抑制茎的伸长。 【详解】植物激素是对植物的生长发育有显著调节作用的微量有机物，并非都是促进生长发育，如脱落酸促进叶和果实的脱落，A错误；生长素和赤霉素均能促进细胞的伸长，进而促进植物的生长发育，B正确；植物的不同器官对生长素的敏感程度是不相同的，根对生长素反应比较敏感，茎对生长素反应比较迟钝，C正确；激素能传递信息，但不直接参与细胞内的代谢活动，而是起调节代谢的作用，D正确。 【点睛】本题综合考查植物激素的知识，要求学生理解并分析某些植物激素的作用原理和实际生产和生活中应用，属于理解层次。 2020年高考生物选择题专项训练（05）
1,下列有关组成细胞的分子和细胞结构的叙述，错误的是（　　） A. 人体成熟红细胞的血红蛋白可以携带氧气，但是该细胞没有细胞核及细胞器 B. 细胞壁的主要成分是纤维素和果胶，具有支持和保护作用 C. 细胞骨架能维持真核细胞的形态，它与细胞的物质运输等活动有关 D. 细胞质基质呈胶质状态，包括多种酶和各种细胞器,D /n【解析】人体红细胞成熟过程中失去了细胞核，除细胞膜和细胞质外，无其他细胞器；植物和藻类的细胞壁主要是由纤维素组成的，细胞壁的作用是保护细胞和支撑植物体；细胞骨架是由蛋白质纤维组成的网架结构，与细胞运动、分裂、分化、能量转换和信息传递等有关；细胞质中除细胞器以外的液体部分称为细胞溶胶，细胞骨架就位于细胞溶胶中，细胞溶胶中有多种酶，是多种代谢活动的场所。 【详解】A. 人体成熟红细胞血红蛋白可以携带氧气，但是进行无氧呼吸，该细胞没有细胞核及细胞器，A正确； B. 植物细胞壁的主要成分是纤维素和果胶，具有支持和保护作用，B正确； C. 细胞骨架能维持真核细胞的形态，它与细胞的物质运输等活动有关，C正确； D. 细胞质基质呈胶质状态，包括多种酶，不包括各种细胞器，D错误。
