序号,题目（含完整选项）,答案
11,下列关于DNA分子结构的叙述，错误的是（  ） A. DNA分子是由两条反向平行的脱氧核苷酸链盘旋而成的双螺旋结构 B. DNA分子的基本骨架是由磷酸和脱氧核糖交替连接而成的 C. DNA分子中，A与T之间通过两个氢键相连，G与C之间通过三个氢键相连 D. DNA分子中，每个磷酸基团都与两个脱氧核糖相连,D
12,下列关于DNA复制的叙述，正确的是（  ） A. DNA复制发生在细胞分裂的前期 B. DNA复制需要模板、原料、能量和酶等基本条件 C. DNA复制是一个边解旋边复制的过程，其复制方式是全保留复制 D. 一个DNA分子复制n次后，得到的子代DNA分子中，含亲代DNA母链的有2n - 2个,B
13,下列关于基因表达的叙述，错误的是（  ） A. 转录是以DNA的一条链为模板合成RNA的过程 B. 翻译是以mRNA为模板合成蛋白质的过程 C. 一种密码子只能决定一种氨基酸，一种氨基酸只能由一种密码子决定 D. 基因表达包括转录和翻译两个过程,C
14,下列关于基因突变的叙述，正确的是（  ） A. 基因突变是生物变异的根本来源 B. 基因突变一定能导致生物性状的改变 C. 基因突变只能发生在细胞分裂的间期 D. 基因突变的方向是由环境决定的,A
15,下列关于基因重组的叙述，错误的是（  ） A. 基因重组能够产生多种基因型 B. 基因重组发生在有性生殖过程中 C. 同源染色体上非姐妹染色单体之间的交叉互换属于基因重组 D. 非同源染色体上非等位基因的自由组合不属于基因重组,D
16,下列关于染色体变异的叙述，正确的是（  ） A. 染色体结构变异和数目变异都可以用显微镜直接观察到 B. 染色体组整倍性变化必然导致基因种类的增加 C. 单倍体生物的体细胞中一定只含有一个染色体组 D. 体细胞中含有两个染色体组的个体一定是二倍体,A
17,下列关于人类遗传病的叙述，错误的是（  ） A. 人类遗传病是由于遗传物质改变而引起的疾病 B. 单基因遗传病是由一个基因控制的遗传病 C. 多基因遗传病在群体中的发病率较高 D. 染色体异常遗传病可通过显微镜观察进行诊断,B
18,下列关于育种的叙述，正确的是（  ） A. 杂交育种的原理是基因重组 B. 诱变育种能定向改变生物的性状 C. 单倍体育种得到的植株都是纯合子 D. 多倍体育种常用的方法是用秋水仙素处理萌发的种子或幼苗,A
19,下列关于生物进化的叙述，错误的是（  ） A. 种群是生物进化的基本单位 B. 生物进化的实质是种群基因频率的改变 C. 自然选择决定生物进化的方向 D. 生物进化一定会形成新的物种,D
20,下列关于内环境稳态的叙述，正确的是（  ） A. 内环境稳态是指内环境的成分和理化性质保持不变 B. 内环境稳态的调节机制是神经 - 体液 - 免疫调节网络 C. 内环境稳态是机体进行正常生命活动的必要条件，只要内环境保持稳态，机体就能进行正常的生命活动 D. 人体维持内环境稳态的调节能力是无限的,B
21,下列关于神经调节的叙述，错误的是（  ） A. 神经调节的基本方式是反射 B. 反射弧是完成反射的结构基础 C. 兴奋在神经纤维上的传导是双向的，在神经元之间的传递是单向的 D. 神经递质只能由突触前膜释放，作用于突触后膜,C
22,下列关于体液调节的叙述，正确的是（  ） A. 体液调节就是激素调节 B. 激素通过体液运输到全身各处，但只作用于特定的靶细胞或靶器官 C. 激素调节具有微量、高效、通过体液运输和作用时间短等特点 D. 甲状腺激素的分泌存在分级调节，不存在反馈调节,B
23,下列关于免疫调节的叙述，错误的是（  ） A. 免疫系统由免疫器官、免疫细胞和免疫活性物质组成 B. 人体的三道防线都具有特异性 C. 体液免疫中，浆细胞能分泌抗体，抗体可以与抗原特异性结合 D. 细胞免疫中，效应T细胞能与靶细胞密切接触，使其裂解死亡,B
24,下列关于植物激素的叙述，正确的是（  ） A. 植物激素是由植物体内特定器官产生的一类有机物 B. 生长素的化学本质是蛋白质 C. 生长素在植物体内只能进行极性运输 D. 植物激素对植物的生长发育有显著影响,D
25,下列关于种群特征的叙述，错误的是（  ） A. 种群密度是种群最基本的数量特征 B. 出生率和死亡率、迁入率和迁出率直接决定种群密度 C. 年龄组成和性别比例都是通过影响出生率和死亡率来间接影响种群密度的 D. 进行种群密度的调查时，常用的方法有样方法和标志重捕法,C
26,下列关于群落结构的叙述，正确的是（  ） A. 群落的垂直结构是指群落中不同种群在垂直方向上的分层现象 B. 群落的水平结构是指群落中不同种群在水平方向上的镶嵌分布 C. 动物在群落中的垂直分布与植物的分层现象无关 D. 群落的结构只包括垂直结构和水平结构,B
27,下列关于群落演替的叙述，错误的是（  ） A. 群落演替是一个群落被另一个群落代替的过程 B. 初生演替和次生演替的主要区别是起始条件不同 C. 人类活动往往会使群落演替按照不同于自然演替的速度和方向进行 D. 群落演替的最终结果一定是形成森林,D
28,下列关于生态系统结构的叙述，正确的是（  ） A. 生态系统的结构包括生态系统的成分和食物链、食物网 B. 生产者都是自养生物，主要是绿色植物 C. 消费者都是异养生物，包括植食性动物、肉食性动物、杂食性动物和寄生动物等 D. 分解者主要是细菌和真菌，它们能将动植物遗体残骸中的有机物分解成无机物,A
29,下列关于生态系统功能的叙述，错误的是（  ） A. 生态系统的能量流动是单向的、逐级递减的 B. 生态系统的物质循环具有全球性和循环性的特点 C. 信息传递在生态系统中可以调节生物的种间关系，维持生态系统的稳定 D. 生态系统的能量流动、物质循环和信息传递是相互独立的,D
30,下列关于生态系统稳定性的叙述，正确的是（  ） A. 生态系统的稳定性是指生态系统所具有的保持或恢复自身结构和功能相对稳定的能力 B. 生态系统的自我调节能力是无限的 C. 负反馈调节在生态系统中普遍存在，它是生态系统自我调节能力的基础 D. 抵抗力稳定性高的生态系统，其恢复力稳定性也一定高,A
31,下列关于细胞中化合物的叙述，正确的是（  ） A. 细胞中的无机盐都以离子形式存在 B. 细胞中的糖类都是能源物质 C. 细胞中的脂质包括脂肪、磷脂和固醇等 D. 细胞中的蛋白质都具有催化作用,C
32,下列关于细胞呼吸原理应用的叙述，错误的是（  ） A. 包扎伤口时，需要选用透气的消毒纱布，防止厌氧菌大量繁殖 B. 提倡慢跑等有氧运动的原因之一是避免肌细胞因无氧呼吸产生大量乳酸 C. 稻田需要定期排水，防止水稻幼根因缺氧而变黑、腐烂 D. 干燥和无氧的环境有利于蔬菜的长期保鲜,D
33,下列有关细胞的统一性与差异性的说法，正确的是（  ） A. 构成细胞的微量元素包括Fe、Mn、Zn、Ca、B、Mo等 B. 植物细胞和动物细胞都有细胞膜、细胞质和细胞核，但细胞器有所不同 C. 原核细胞与真核细胞都具有细胞壁、细胞膜、细胞质等结构，体现了细胞的统一性 D. 细胞学说揭示了细胞的统一性和差异性,B
34,下列关于细胞中糖类和脂质的叙述，错误的是（  ） A. 糖类是主要的能源物质，细胞中的糖类有些是结构物质 B. 几丁质是一种多糖，广泛存在于甲壳类动物和昆虫的外骨骼中 C. 与糖类相比，等质量的脂肪中H含量高、O含量低，氧化分解释放能量更多 D. 脂肪、磷脂和胆固醇都属于脂质，它们都含有C、H、O、N、P元素,D
35,关于细胞的物质输入与输出，下列说法正确的是（  ） A. 水分子进出细胞，都是通过自由扩散方式进行的 B. 植物细胞的原生质层由细胞膜和液泡膜组成 C. 主动运输使膜内外物质浓度趋于一致，维持了细胞的正常代谢 D. 物质跨膜运输并不都是顺相对含量梯度的,D
36,下列关于酶的实验设计，正确的是（  ） A. 用过氧化氢溶液、肝脏研磨液作材料探究温度对酶活性的影响 B. 用淀粉和蔗糖溶液、淀粉酶，反应后滴加碘液验证酶的专一性 C. 用蛋白酶、蛋白块作实验材料验证蛋白酶能够催化蛋白质分解 D. 用淀粉酶、淀粉溶液、斐林试剂探究pH对酶活性的影响,C
37,下列关于细胞呼吸在生产生活中应用的叙述，错误的是（  ） A. 给含有酵母菌的发酵液连续通气，可以提高产酒量 B. 适当降低温度和氧浓度有利于水果的长期保鲜 C. 利用乳酸菌制作酸奶过程中，应先通气后密封 D. 提倡慢跑等有氧运动的原因之一是避免肌细胞因无氧呼吸产生酒精对细胞造成伤害,D
38,下列关于光合作用过程的叙述，正确的是（  ） A. 光反应阶段为暗反应阶段提供ATP和[H]，暗反应阶段可为光反应阶段提供ADP和Pi B. 光反应阶段的化学反应是在叶绿体类囊体薄膜上进行的，暗反应阶段的化学反应是在叶绿体基质中进行的 C. 突然停止光照，短时间内C5含量会下降，C3含量会上升 D. 以上说法都正确,D
39,某同学在观察蝗虫精巢时，发现一个细胞含有成对的同源染色体，但没有四分体，着丝点排列于赤道板位置，且每条染色体都有染色单体。下列相关分析正确的是（  ） A. 这是处于减数第二次分裂中期的细胞 B. 下一时期将发生同源染色体彼此分离 C. 卵巢中的同样细胞分裂可形成一个卵细胞和一个极体 D. 所形成两个子细胞的染色体数目相同,D
40,下列关于细胞全能性的叙述，正确的是（  ） A. 只有体细胞才具有发育成完整个体所必需的全套基因 B. 克隆羊的诞生说明高度分化的动物细胞具有全能性 C. 植物细胞的全能性是指植物的每个细胞都能分化成各种组织和器官 D. 花粉可培育成单倍体植株，是细胞全能性的体现,D
41,下列关于基因和染色体关系的叙述，错误的是（  ） A. 萨顿利用类比推理的方法提出基因在染色体上的假说 B. 摩尔根等人首次通过实验证明基因在染色体上 C. 基因在染色体上呈线性排列，每条染色体上都有若干个基因 D. 基因和染色体都是生物的遗传物质,D
42,下列关于伴性遗传的叙述，正确的是（  ） A. 伴性遗传不遵循孟德尔遗传定律 B. 伴X染色体隐性遗传病中，男性患者多于女性患者 C. 伴X染色体显性遗传病中，女性患者的儿子一定患病 D. 伴Y染色体遗传中，患者的父亲和儿子不一定患病,B
43,下列关于DNA是遗传物质的实验证据的叙述，正确的是（  ） A. 格里菲思的肺炎双球菌转化实验证明了DNA是转化因子 B. 艾弗里的肺炎双球菌转化实验运用了同位素标记法 C. 噬菌体侵染细菌实验中，搅拌的目的是使噬菌体的DNA与蛋白质外壳分离 D. 噬菌体侵染细菌实验中，离心后上清液主要含有亲代噬菌体的蛋白质外壳,D
44,下列关于DNA分子复制过程的叙述，错误的是（  ） A. 以解旋后的两条DNA单链为模板 B. 以4种游离的核糖核苷酸为原料 C. 遵循碱基互补配对原则 D. 需要DNA聚合酶等多种酶的参与,B
45,下列关于基因表达过程的叙述，正确的是（  ） A. 转录过程中，RNA聚合酶与DNA模板链上的起始密码子结合 B. 翻译过程中，每种氨基酸都由多种密码子决定 C. 转录和翻译过程中都遵循A - U、T - A、C - G、G - C的碱基配对原则 D. 翻译过程中，核糖体沿着mRNA移动，读取下一个密码子,D
46,下列关于基因突变与染色体变异的叙述，正确的是（  ） A. 基因突变的频率很低，染色体变异可以用显微镜直接观察 B. 基因突变发生在有丝分裂过程中，染色体变异发生在减数分裂过程中 C. 基因突变是不定向的，染色体变异是定向的 D. 基因突变是可遗传的，染色体变异是不可遗传的,A
47,下列关于人类遗传病的监测和预防的叙述，错误的是（  ） A. 遗传咨询和产前诊断等手段，能够对遗传病进行监测和预防 B. 产前诊断只能确定胎儿是否患有某种遗传病 C. 羊水检查、B超检查等都属于产前诊断的检测手段 D. 通过遗传咨询可推算出某些遗传病的发病率,B
48,下列关于杂交育种、诱变育种和单倍体育种的叙述，正确的是（  ） A. 杂交育种的原理是基因重组，能将多个优良性状集中到一个个体上 B. 诱变育种的原理是基因突变，诱变的方向由环境决定 C. 单倍体育种的原理是染色体变异，能明显缩短育种年限 D. A和C都正确,D
49,下列关于生物进化与生物多样性形成的叙述，正确的是（  ） A. 生物进化的实质是种群基因型频率的改变 B. 生物多样性形成也就是新物种不断形成的过程 C. 共同进化都是通过物种之间的生存斗争实现的 D. 自然选择直接作用于生物的表现型，决定了生物进化的方向,D
50,下列关于内环境的组成成分和理化性质的叙述，错误的是（  ） A. 内环境的组成成分包括血浆、组织液和淋巴等 B. 内环境的理化性质包括渗透压、酸碱度和温度等 C. 血浆渗透压的大小主要与无机盐和蛋白质的含量有关 D. 人体细胞外液的温度一般维持在37℃左右，pH一般维持在7.35 - 7.45之间,A
51,下列关于兴奋在神经纤维上的传导和在神经元之间传递的叙述，正确的是（  ） A. 兴奋在神经纤维上的传导和在神经元之间的传递都需要消耗能量 B. 兴奋在神经纤维上的传导和在神经元之间的传递速度相同 C. 兴奋在神经纤维上的传导形式是电信号，在神经元之间的传递形式是化学信号 D. A和C都正确,D
52,下列关于激素调节特点的叙述，错误的是（  ） A. 激素通过体液运输，作用于靶器官、靶细胞 B. 激素一经靶细胞接受并起作用后就被灭活了 C. 激素在体内含量很少，但作用高效 D. 一种激素只能作用于一种靶器官或靶细胞,D
53,下列关于人体免疫的叙述，正确的是（  ） A. 吞噬细胞只在非特异性免疫中发挥作用 B. 浆细胞能增殖分化成具有分裂能力的记忆细胞 C. 二次免疫比初次免疫产生抗体更迅速、更大量 D. 细胞免疫中，效应T细胞与靶细胞接触，使靶细胞中的抗原裂解死亡,C
54,下列关于植物生长素的发现过程及生理作用的叙述，错误的是（  ） A. 达尔文通过实验推测胚芽鞘尖端受单侧光刺激后，向下面的伸长区传递某种“影响” B. 鲍森·詹森的实验证明，胚芽鞘尖端产生的影响可以透过琼脂片传递给下部 C. 生长素的生理作用具有两重性，如促进扦插枝条生根、防止落花落果等体现了两重性 D. 生长素在植物体内的运输方式有极性运输和非极性运输等,C
55,下列关于种群数量变化的叙述，正确的是（  ） A. 在理想条件下，种群数量增长的曲线为“J”型，其增长率逐渐增大 B. 在环境条件不受破坏的情况下，一定空间中所能维持的种群最大数量称为环境容纳量 C. 在“S”型增长曲线中，当种群数量达到K值时，种群的增长速率最大 D. 种群数量的变化包括增长、波动、稳定和下降等,D
56,下列关于群落的演替的叙述，错误的是（  ） A. 群落演替是随着时间的推移，一个群落被另一个群落代替的过程 B. 初生演替速度通常比次生演替快 C. 人类活动往往会使群落演替按照不同于自然演替的速度和方向进行 D. 群落演替的最终阶段不一定是森林阶段,B
57,下列关于生态系统的组成成分的叙述，正确的是（  ） A. 阳光、热能、空气、水和无机盐等属于生态系统的非生物的物质和能量 B. 生产者都能进行光合作用，把无机物转化为有机物 C. 消费者和分解者都是异养生物，消费者的存在有利于生态系统的物质循环 D. A和C都正确,D
58,下列关于生态系统能量流动的叙述，正确的是（  ） A. 能量流动是单向的，只能从第一营养级流向第二营养级，再依次向后传递 B. 能量在流动过程中逐级递减，相邻两个营养级之间的能量传递效率一般为10% - 20% C. 生态系统中能量的输入、传递、转化和散失的过程，称为生态系统的能量流动 D. 以上说法都正确,D
59,下列关于生态系统物质循环的叙述，错误的是（  ） A. 物质循环具有全球性，因此又称为生物地球化学循环 B. 碳在生物群落与无机环境之间的循环主要是以二氧化碳的形式进行的 C. 物质循环和能量流动是两个相对独立的过程 D. 物质循环中的“物质”是指组成生物体的C、H、O、N、P、S等元素,C
60,下列关于生态系统信息传递的叙述，正确的是（  ） A. 信息传递在生态系统中可以调节生物的种间关系，维持生态系统的稳定 B. 生态系统中的信息分为物理信息、化学信息和生物信息三大类 C. 植物生命活动过程中产生的生物碱、有机酸等代谢产物属于物理信息 D. 利用昆虫的信息素诱捕或警示有害动物，属于化学防治,A
61,下列关于生态系统稳定性的叙述，错误的是（  ） A. 抵抗力稳定性是指生态系统抵抗外界干扰并使自身的结构与功能保持原状的能力 B. 恢复力稳定性是指生态系统在受到外界干扰因素的破坏后恢复到原状的能力 C. 一般来说，生态系统中的组分越多，食物网越复杂，其自我调节能力就越强，抵抗力稳定性就越高 D. 抵抗力稳定性高的生态系统，其恢复力稳定性也一定高,D
62,下列关于细胞结构和功能的叙述，正确的是（  ） A. 蓝藻细胞没有叶绿体，但能进行光合作用，其光合作用的场所是细胞质基质 B. 核糖体是蛋白质合成和加工的主要场所 C. 细胞骨架是由蛋白质纤维组成的网架结构，与细胞的运动、分裂、分化等生命活动密切相关 D. 细胞核是细胞遗传信息储存、复制和表达的主要场所,C
63,下列关于细胞中化合物的叙述，正确的是（  ） A. 组成蛋白质的氨基酸之间可按不同的方式脱水缩合 B. DNA和RNA化学组成上的区别仅在于所含碱基的种类不同 C. 糖类是细胞中主要的能源物质，所有糖类都能为细胞供能 D. 胆固醇是构成动物细胞膜的重要成分，在人体内还参与血液中脂质的运输,D
64,下列关于物质跨膜运输的叙述，正确的是（  ） A. 相对分子质量小的物质或离子都可以通过自由扩散进入细胞内 B. 大分子有机物要通过载体蛋白的转运才能进入细胞内，并且要消耗能量 C. 协助扩散和自由扩散都是顺浓度梯度进行的，既不需要消耗能量，也不需要载体蛋白 D. 主动运输发生在细胞逆浓度梯度吸收物质时，既要消耗能量，也需要载体蛋白,D
65,下列关于酶和ATP的叙述，正确的是（  ） A. 酶的合成需要消耗ATP，ATP的合成需要酶的催化 B. 酶促反应速率与酶浓度、底物浓度、温度、pH等有关，与酶的活性无关 C. ATP中的“A”与构成DNA、RNA中的碱基“A”表示的是同一物质 D. 人在剧烈运动时，细胞中ATP的含量会大幅下降,A
66,下列关于细胞呼吸的叙述，正确的是（  ） A. 有氧呼吸和无氧呼吸的实质都是分解有机物，释放能量 B. 有氧呼吸产生的[H]在线粒体基质中与氧结合生成水 C. 无氧呼吸不需要O₂的参与，该过程最终有[H]的积累 D. 质量相同的脂肪和糖原彻底氧化分解所释放的能量相同,A
67,下列关于光合作用和细胞呼吸在生产生活中的应用，错误的是（  ） A. 大棚种植蔬菜时，适当提高温度，有利于提高蔬菜的产量 B. 稻田定期排水，可防止水稻幼根因缺氧而变黑、腐烂 C. 包扎伤口时，选用透气的消毒纱布，可抑制厌氧菌的大量繁殖 D. 提倡慢跑等有氧运动，可避免肌细胞因无氧呼吸产生大量乳酸,A
68,下列关于细胞增殖、分化、衰老和凋亡的叙述，正确的是（  ） A. 细胞增殖过程中都要进行DNA的复制和有关蛋白质的合成 B. 细胞分化使细胞的遗传物质发生改变，导致细胞的形态和功能各不相同 C. 细胞衰老过程中，细胞膜通透性改变，物质运输功能增强 D. 细胞凋亡是一种自然的生理过程，与基因无关,A
69,下列关于遗传物质的探索历程的叙述，正确的是（  ） A. 烟草花叶病毒的感染和重建实验证明了RNA是遗传物质 B. 噬菌体侵染细菌实验中，用含³⁵S的培养基培养噬菌体，可得到被³⁵S标记的噬菌体 C. 艾弗里的肺炎双球菌转化实验证明了DNA是主要的遗传物质 D. 格里菲思的肺炎双球菌转化实验证明了DNA是转化因子,A
70,下列关于基因的表达的叙述，错误的是（  ） A. 转录过程中，RNA聚合酶与DNA模板链上的启动子结合 B. 翻译过程中，tRNA上的反密码子与mRNA上的密码子互补配对 C. 基因表达的过程中，都遵循碱基互补配对原则 D. 一种氨基酸只能由一种tRNA转运,D
71,下列关于生物变异的叙述，正确的是（  ） A. 基因突变一定会导致生物性状的改变 B. 基因重组发生在受精作用的过程中 C. 染色体结构变异会使排列在染色体上的基因的数目或排列顺序发生改变 D. 单倍体生物的体细胞中一定只含有一个染色体组,C
72,下列关于人类遗传病的叙述，正确的是（  ） A. 调查人类遗传病的发病率时，应选择多基因遗传病进行调查 B. 遗传病患者一定含有致病基因 C. 猫叫综合征是由染色体数目变异引起的 D. 产前诊断能在一定程度上预防遗传病患儿的出生,D
73,下列关于育种方法的叙述，正确的是（  ） A. 多倍体育种常用秋水仙素处理萌发的种子或幼苗，使染色体数目加倍 B. 单倍体育种过程中，通过花药离体培养获得的单倍体植株都能表现出优良性状 C. 诱变育种可以提高突变率，在较短时间内获得更多的优良变异类型，且能定向改造生物性状 D. 杂交育种只能在同种生物中进行，通过基因重组将多个优良性状集中在一起,A
74,下列有关生物进化的叙述，错误的是（  ） A. 生物进化的实质是种群基因频率在自然选择作用下的定向改变 B. 生物进化过程中，种群基因库中基因频率的变化只与自然选择有关 C. 新物种形成的标志是出现生殖隔离 D. 隔离是物种形成的必要条件，包括地理隔离和生殖隔离,B
75,下列关于内环境稳态调节机制的叙述，错误的是（  ） A. 内环境稳态的维持主要依赖神经调节、体液调节和免疫调节的共同作用 B. 神经调节的基本方式是反射，完成反射的结构基础是反射弧 C. 体液调节主要是激素等化学物质通过体液传送的方式对生命活动进行调节 D. 免疫调节在维持内环境稳态中不起作用,D
76,下列关于兴奋传导的叙述，正确的是（  ） A. 神经纤维膜内局部电流的流动方向与兴奋传导方向一致 B. 神经纤维上已兴奋的部位将恢复为静息状态的零电位 C. 突触小体完成“化学信号—电信号”的转变 D. 神经递质作用于突触后膜，使突触后膜产生兴奋,A
77,下列关于激素的叙述，错误的是（  ） A. 激素既不组成细胞结构，又不提供能量，也不起催化作用 B. 激素随体液到达靶细胞，使靶细胞原有的生理活动发生变化 C. 促甲状腺激素释放激素和甲状腺激素对垂体的调节表现为协同作用 D. 激素调节是体液调节的主要内容,C
78,下列关于免疫细胞的叙述，正确的是（  ） A. 吞噬细胞只在非特异性免疫中发挥作用 B. T细胞和B细胞都起源于骨髓中的造血干细胞 C. 浆细胞能特异性识别抗原并分泌抗体 D. 效应T细胞能与靶细胞密切接触并直接吞噬靶细胞,B
79,下列关于植物激素调节的叙述，正确的是（  ） A. 植物激素的化学本质都是蛋白质 B. 植物激素直接参与细胞内的代谢活动 C. 植物激素在植物体内含量很少，但具有高效性 D. 植物激素的作用都具有两重性,C
80,下列关于种群数量特征的叙述，正确的是（  ） A. 种群密度能反映种群在一定时期的数量和数量变化趋势 B. 出生率和死亡率、迁入率和迁出率决定种群密度的大小 C. 年龄组成和性别比例直接影响种群密度的变化 D. 年龄组成只有增长型和衰退型两种类型,B
81,下列关于群落演替的叙述，正确的是（  ） A. 群落演替的过程中，物种丰富度不断增加 B. 初生演替和次生演替的主要区别在于起始条件不同 C. 群落演替的最终阶段都是森林阶段 D. 人类活动对群落演替没有影响,B
82,下列关于生态系统的叙述，正确的是（  ） A. 生态系统的结构包括生态系统的组成成分和营养结构 B. 生态系统的能量流动是指能量的输入和散失过程 C. 生态系统的物质循环是指各种化合物在生物群落和无机环境之间的循环过程 D. 生态系统的信息传递只能发生在生物与生物之间,A
83,下列关于生态系统能量流动的叙述，错误的是（  ） A. 能量流动是单向的、不循环的 B. 能量在流动过程中逐级递减 C. 生产者固定的太阳能是流经生态系统的总能量 D. 初级消费者越多，次级消费者获得的能量越少,D
84,下列关于生态系统物质循环的叙述，正确的是（  ） A. 物质循环具有全球性，又叫生物地球化学循环 B. 碳在生物群落与无机环境之间的循环主要以碳酸盐的形式进行 C. 物质循环与能量流动彼此独立，互不相关 D. 物质循环在生产者、消费者和分解者之间循环往复,A
85,下列关于生态系统信息传递的叙述，正确的是（  ） A. 生态系统中的信息传递对所有捕食者都必然有利 B. 信息传递能够调节生物的种间关系，以维持生态系统的稳定 C. 生态系统中的物理信息只能来自无机环境 D. 生物种群的繁衍离不开化学信息的传递,B
86,下列关于生态系统稳定性的叙述，正确的是（  ） A. 生态系统的稳定性是指生态系统保持相对稳定的状态，不发生变化 B. 抵抗力稳定性高的生态系统，恢复力稳定性也一定高 C. 生态系统的自我调节能力是有限的，当外界干扰因素的强度超过一定限度时，生态系统的稳定性就会遭到破坏 D. 增加生态系统内各营养级生物的种类不能提高生态系统的稳定性,C
87,下列关于细胞结构和功能的叙述，错误的是（  ） A. 线粒体是细胞进行有氧呼吸的主要场所，能为细胞生命活动提供能量 B. 叶绿体是植物进行光合作用的细胞器，能将光能转化为化学能 C. 溶酶体含有多种水解酶，能分解衰老、损伤的细胞器，吞噬并杀死侵入细胞的病毒或细菌 D. 核糖体是蛋白质合成的场所，由蛋白质和DNA组成,D
88,下列关于细胞中化合物的叙述，错误的是（  ） A. 蛋白质是生命活动的主要承担者，其基本组成单位是氨基酸 B. DNA是细胞中的遗传物质，其基本组成单位是脱氧核苷酸 C. 糖类是细胞中的主要能源物质，所有糖类都能被细胞直接吸收利用 D. 脂质包括脂肪、磷脂和固醇等，对维持细胞的结构和功能有重要作用,C
89,下列关于物质跨膜运输的叙述，错误的是（  ） A. 主动运输需要载体蛋白和能量，能逆浓度梯度运输物质 B. 协助扩散不需要能量，但需要载体蛋白，只能顺浓度梯度运输物质 C. 自由扩散不需要载体蛋白和能量，只能顺浓度梯度运输物质 D. 细胞通过主动运输方式吸收离子的速率与细胞呼吸强度始终呈正相关,D
90,下列关于酶的叙述，正确的是（  ） A. 酶在催化反应完成后立即被降解成氨基酸 B. 酶的活性与温度、pH有关，与底物浓度无关 C. 酶在细胞内和细胞外都能发挥作用 D. 一种酶只能催化一种化学反应,C
91,下列关于细胞呼吸的叙述，错误的是（  ） A. 细胞呼吸是指有机物在细胞内经过一系列的氧化分解，生成二氧化碳或其他产物，释放出能量并生成ATP的过程 B. 有氧呼吸和无氧呼吸的第一阶段都在细胞质基质中进行，且都能产生少量ATP C. 有氧呼吸的第二、三阶段在线粒体中进行，产生大量ATP D. 人体细胞无氧呼吸的产物是酒精和二氧化碳,D
92,下列关于光合作用的叙述，错误的是（  ） A. 光合作用的光反应阶段和暗反应阶段都需要光 B. 光反应阶段产生的ATP和[H]为暗反应阶段提供能量和还原剂 C. 暗反应阶段发生在叶绿体基质中，能将二氧化碳固定并还原成糖类等有机物 D. 光合作用的实质是将光能转化为化学能，储存在有机物中,A
93,下列关于细胞增殖、分化、衰老和凋亡的叙述，错误的是（  ） A. 细胞增殖是生物体生长、发育、繁殖和遗传的基础 B. 细胞分化使细胞的形态、结构和功能发生稳定性差异，是基因选择性表达的结果 C. 细胞衰老过程中，细胞内所有酶的活性都降低 D. 细胞凋亡是由基因决定的细胞自动结束生命的过程，对生物体有利,C
